docente,titulo,revista,año,mes,DOI,URL,editorial,volumen,numero,paginas,autores
MAESTRE GONGORA GINA PAOLA,"Smart university: Strategic map since the adoption of technology,Universidad inteligente: Mapa estratégico desde la adopción de tecnología",RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2020,,,,,2020,E28,711-724,"Rico-Bautista, D. and Medina-Cárdenas, Y. and Coronel-Rojas, L.A. and Cuesta-Quintero, F. and Barrientos-Avendaño, E. and León, R.A.G. and Maestre-Góngora, G.P."
MAESTRE GONGORA GINA PAOLA,Conceptual model of information technology management for smart cities: Smarticity,Journal of Global Information Management,2019,,,,,27,2,159-175,"Maestre-Gongora, G.P. and Bernal, W.N."
MAESTRE GONGORA GINA PAOLA,Plan estratégico basado en ITIL para mipymes en el departamento de Arauca-Colombia,Lámpsakos,2019,nov,10.21501/21454086.3280,https://doi.org/10.21501%2F21454086.3280,Universidad Catolica Luis Amigo,,22,68,Carlos Eduardo Puentes Figueroa and Gina Paola Maestre-Góngora
MAESTRE GONGORA GINA PAOLA,A systematic mapping study of micro-grid architectures,Scientia et Technica,2019,sep,10.22517/23447214.21421,https://doi.org/10.22517%2F23447214.21421,Universidad Tecnologica de Pereira - UTP,24,3,366--376,Julián Andrés Mera Paz and Ramón Fernando Colmenares Quintero and Gina Paola Maestre Gongora
MAESTRE GONGORA GINA PAOLA,Caracterización de buenas prácticas para gestión de sistemas de información en entidades públicas colombianas,Ingeniare,2018,,10.18041/1909-2458/ingeniare.24.5172,http://dx.doi.org/10.18041/1909-2458/ingeniare.24.5172,,,,,
MAESTRE GONGORA GINA PAOLA,"Information technology management for smart government: A enterprise architecture approach,Gestión de tecnología de información para gobiernos inteligentes: Un enfoque de arquitectura empresarial",Espacios,2017,,,,,38,42,,"Maestre Góngora, G.P. and Nieto Bernal, W.N."
MAESTRE GONGORA GINA PAOLA,Factores Clave en la Gestión de Tecnología de Información para Sistemas de Gobierno Inteligente,Journal of Technology Management \& Innovation,2015,dec,10.4067/s0718-27242015000400012,http://dx.doi.org/10.4067/s0718-27242015000400012,SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica (CONICYT),10,4,109--117,Gina Paola Maestre Góngora and Wilson Nieto Bernal
MAESTRE GONGORA GINA PAOLA,Revisión de literatura sobre ciudades inteligentes: una perspectiva centrada en las TIC,INGENIARE,2015,,10.18041/1909-2458/ingeniare.19.531,,,,,,Gina Paola Maestre Góngora
MAESTRE GONGORA GINA PAOLA,Tecnologías de información y comunicaciones como apoyo al sector de lavado de automóviles,Revista ESAICA,2015,,10.15649/24225126.268,,,,,,
DUITAMA MUÑOZ JOHN FREDDY,A machine learning-based model for 1-year mortality prediction in patients admitted to an Intensive Care Unit with a diagnosis of sepsis,Medicina Intensiva,2020,apr,10.1016/j.medin.2018.07.016,https://doi.org/10.1016%2Fj.medin.2018.07.016,Elsevier BV,44,3,160--170,J.E. García-Gallo and N.J. Fonseca-Ruiz and L.A. Celi and J.F. Duitama-Muñoz
DUITAMA MUÑOZ JOHN FREDDY,Una propuesta para la clasificación emocional de un álbum a partir de la letra de sus canciones,Revista Tecnura,2016,feb,10.14483/udistrital.jour.tecnura.2016.1.a05,https://doi.org/10.14483%2Fudistrital.jour.tecnura.2016.1.a05,Universidad Distrital Francisco Jose de Caldas,20,47,57,Francisco Javier Moreno Arboleda and John Freddy Duitama Muñoz and Luis Fernando Montoya Gómez
DUITAMA MUÑOZ JOHN FREDDY,A Framework for the Generation of Adaptive Courses Based on Semantic Metadata,Multimedia Tools and Applications,2005,mar,10.1007/s11042-005-6541-8,https://doi.org/10.1007%2Fs11042-005-6541-8,Springer Science and Business Media LLC,25,3,377--390,Freddy Duitama and Bruno Defude and Amel Bouzeghoub and Claire Lecocq
ORTEGA LOBO OSCAR,Improving NURBS Surface Sharp Feature Representation,International Journal of Computational Intelligence Research,,,10.5019/j.ijcir.2007.97,https://lens.org/101-307-797-786-707,,,,,Nallig Leal and Oscar Ortega Lobo and John William Branch
ORTEGA LOBO OSCAR,ESTIMACIÓN DE CURVATURAS Y DIRECCIONES PRINCIPALES EN NUBE DE PUNTOS NO ORGANIZADOS,Dyna,,September,,https://lens.org/166-111-668-718-875,,,,,Esmeide A Leal Narváez and John William Branch and Oscar Ortega Lobo
ORTEGA LOBO OSCAR,Agrupamiento de resultados obtenidos de búsquedas hechas sobre la Web para un catálogo de acceso público en línea,Dyna,,,,https://lens.org/088-801-416-140-297,,,,,Andrés Marín Lopera and Oscar Ortega Lobo and John William Branch
ORTEGA LOBO OSCAR,La gestión del conocimiento en las empresas de servicios Medellín,"Investigación Bibliotecológica: archivonomía, bibliotecología e información",,July,10.22201/iibi.0187358xp.2003.35.4023,https://lens.org/070-078-712-833-852,,,,,María Teresa Múnera Torres and Adriana Mejía Correa and José Gregorio Franco Gómez and Ángel Pabon and Regina Arilog and Oscar Ortega Lobo
ORTEGA LOBO OSCAR,Suitable Domains for Using Ordered Attribute Trees to Impute Missing Values,IEICE Transactions on Information and Systems,,February,,https://lens.org/046-243-091-640-99X,,,,,Oscar Ortega Lobo
BOTIA VALDERRAMA DIEGO JOSE LUIS,Two cluster validity indices for the LAMDA clustering method,Applied Soft Computing Journal,2020,,,,,89,,,"Valderrama, J.F.B. and Valderrama, D.J.L.B."
BOTIA VALDERRAMA DIEGO JOSE LUIS,On LAMDA clustering method based on typicality degree and intuitionistic fuzzy sets,Expert Systems with Applications,2018,,,,,107,,196-221,"Botía Valderrama, J.F. and Botía Valderrama, D.J.L."
BOTIA VALDERRAMA DIEGO JOSE LUIS,Nonintrusive Method Based on Neural Networks for Video Quality of Experience Assessment,Advances in Multimedia,2016,,,,,2016,,,"Botia Valderrama, D.J.L. and Gaviria Gómez, N."
BOTIA VALDERRAMA JAVIER FERNANDO,Two cluster validity indices for the LAMDA clustering method,Applied Soft Computing,2020,,10.1016/j.asoc.2020.106102,http://dx.doi.org/10.1016/j.asoc.2020.106102,,,,,
BOTIA VALDERRAMA JAVIER FERNANDO,On LAMDA clustering method based on typicality degree and intuitionistic fuzzy sets,Expert Systems with Applications,2018,,10.1016/j.eswa.2018.04.022,http://dx.doi.org/10.1016/j.eswa.2018.04.022,,,,,
BOTIA VALDERRAMA JAVIER FERNANDO,Fuzzy cellular automata and intuitionistic fuzzy sets applied to an optical frequency comb spectral shape,Engineering Applications of Artificial Intelligence,2017,,,,,62,,181-194,"Botía, J.F. and Cárdenas, A.M. and Sierra, C.M."
BOTIA VALDERRAMA JAVIER FERNANDO,Performance of WDM-OFDM for Using Unequalized Optical Frequency Comb,IEEE Latin America Transactions,2015,,,,,13,8,2551-2558,"Villarreal, G.D. and Cárdenas, A.M. and Botia, J.F."
BOTIA VALDERRAMA JAVIER FERNANDO,Automaton based on fuzzy clustering methods for monitoring industrial processes,Engineering Applications of Artificial Intelligence,2013,,,,,26,4,1211-1220,"Botía, J.F. and Isaza, C. and Kempowsky, T. and Le Lann, M.V. and Aguilar-Martín, J."
