docente,titulo,pais,revista,año,mes,paginas,editorial,DOI,ISSN,URL,volumen,numero,autores,cuartil_revista
DUQUE RAMOS ASTRID,MODELO PARA LA ESTIMACIÓN TEMPRANA DE ESFUERZO EN PROYECTOS DE DESARROLLO DE SOFTWARE,Colombia,Avances En Sistemas E Informática,2006,,65 - 70,Universidad Nacional De Colombia Sede Medellin,,1657-7663,,,,,
DUQUE RAMOS ASTRID,OQUARE: A SQUARE-BASED APPROACH FOR EVALUATING THE QUALITY OF ONTOLOGIES,,Journal of Research and Practice in Information Technology,2011,,159-176,Australian Computer Society,,1443-458X,,43.0,2,"Duque-Ramos, A. and Fernández-Breis, J.T. and Stevens, R. and Aussenac-Gilles, N.",Q3
DUQUE RAMOS ASTRID,SUPPORTING THE ANALYSIS OF ONTOLOGY EVOLUTION PROCESSES THROUGH THE COMBINATION OF STATIC AND DYNAMIC SCALING FUNCTIONS IN OQUARE,,Journal of Biomedical Semantics,2016,,-,BioMed Central Ltd.,10.1186/s13326-016-0091-z,2041-1480,,7.0,1,"Duque-Ramos, A. and Quesada-Martínez, M. and Iniesta-Moreno, M. and Fernández-Breis, J.T. and Stevens, R.",Q1
GIL MORENO WILMER ALBERTO,EVOL-PLAYMAC INTEGRACIÓN DE UNA TÉCNICA DE COMPUTACIÓN EVOLUTIVA AL APRENDIZAJE COMPUTACIONAL DE UN JUEGO DE TABLERO ENTRE EL HUMANO Y LA MÁQUINA,Colombia,Avances En Sistemas E Informática,2006,,31 - 35,Universidad Nacional De Colombia Sede Medellin,,1657-7663,,,,,
GOMEZ HENAO RAFAEL,EXPRESSION DYNAMICS OF THE O-GLYCOSYLATED PROTEINS RECOGNIZED BY AMARANTHUS LEUCOCARPUS LECTIN IN T LYMPHOCYTES AND ITS RELATIONSHIP WITH MOESIN AS AN ALTERNATIVE MECHANISM OF CELL ACTIVATION,,Frontiers in Immunology,2021,,,,,,,12.0,,"Gómez-Henao, W. and Saavedra, R. and Chávez-Sánchez, F.R. and Lascurain, R. and Zenteno, E. and Tenorio, E.P.",Q1
GOMEZ HENAO RAFAEL,HS3ST2 EXPRESSION INDUCES THE CELL AUTONOMOUS AGGREGATION OF TAU,,Scientific Reports,2022,,,,,,,12.0,1,"Huynh, M.B. and Rebergue, N. and Merrick, H. and Gomez-Henao, W. and Jospin, E. and Biard, D.S.F. and Papy-Garcia, D.",Q1
GOMEZ HENAO RAFAEL,RELEVANCE OF GLYCANS IN THE INTERACTION BETWEEN T LYMPHOCYTE AND THE ANTIGEN PRESENTING CELL,,International Reviews of Immunology,2020,nov,274--288,Informa UK Limited,10.1080/08830185.2020.1845331,,https://doi.org/10.1080%2F08830185.2020.1845331,40.0,4,Wilton Gómez-Henao and Eda Patricia Tenorio and Francisco Raúl Chávez Sanchez and Miguel Cuéllar Mendoza and Ricardo Lascurain Ledezma and Edgar Zenteno,Q2
GUEVARA CALUME ROBERTO CARLOS,? SE PUEDE DEFINIR QUE ES CONTENIDO DESDE LA GESTION DE LA INFORMACION?,,Revista General de Informacion y Documentacion,2017,,201--219,Universidad Complutense de Madrid,,,,27.0,,"Serna, Edgar and Guevara, Roberto and Serna, Alexei",Q3
GUEVARA CALUME ROBERTO CARLOS,A PROPOSED SOLUTION TO THE PROBLEM OF INTERFERENCE BETWEEN WIRELESS NETWORKS BY OVERLAPPING CHANNELS,Colombia,Ciencia e Ingeniería Neogranadina,2013,,7--15,Universidad Militar Nueva Granada,,0124-8170,,23.0,2,"Guevara, Roberto Carlos and Serna, Édgar",
GUEVARA CALUME ROBERTO CARLOS,CAN IT DEFINE WHAT IS CONTENT FROM THE INFORMATION MANAGEMENT?,España,Revista General de Información y Documentación,2017,,21,Universidad Complutense de Madrid,http://dx.doi.org/10.5209/RGID.56567,1132-1873,,27.0,1,"Serna, Edgar and Guevara, Roberto and Serna, Alexei",Q3
GUEVARA CALUME ROBERTO CARLOS,CAN IT DEFINE WHAT IS CONTENT FROM THE INFORMATION MANAGEMENT?,España,Revista General de Informacion y Documentacion,2017,,201-218,Universidad Complutense Madrid,http://dx.doi.org/10.5209/RGID.56567,1132-1873,,27.0,1,"Serna, M.E. and Guevara, C.R. and Serna, A.X.",Q3
GUEVARA CALUME ROBERTO CARLOS,CATEGORIZACIÓN DE LOS CONTENIDOS INTERACTIVOS,,,2015,,,,,,,,,"Castro, Carlos A and Botero, Ricardo and Guevara, Roberto",
GUEVARA CALUME ROBERTO CARLOS,CONCENTRACIÓN DE REDES WIFI EN SITIOS CÉNTRICOS-CASO DE ESTUDIO CENTRO DE LA CIUDAD DE MEDELLÍN COLOMBIA,,Avances en Ingeniería,2015,,127,,,,,,,"Guevara, Roberto and Flórez, Giovanny",
GUEVARA CALUME ROBERTO CARLOS,"CONCENTRATION OF WIFI NETWORKS IN CENTRAL PLACES--STUDY CASE IN THE CENTER OF MEDELLIN CITY, COLOMBIA CONCENTRACIÓN DE REDES WIFI EN SITIOS CÉNTRICOS-CASO DE ESTUDIO CENTRO DE LA CIUDAD DE MEDELLÍN COLOMBIA",,Actas de Ingeniería,2015,,196--200,,,,,1.0,,"Guevara, Roberto and Flórez, Giovanny",
GUEVARA CALUME ROBERTO CARLOS,CUANTIFICACIÓN EXPERIMENTAL DE LA INTERFERENCIA ENTRE REDES WIFI CAUSADA POR EL SOLAPAMIENTO DE CANALES,Colombia,CUADERNO ACTIVA,2013,,23 - 29,,,2027-8101,,,,,
GUEVARA CALUME ROBERTO CARLOS,CUANTIFICACIÓN EXPERIMENTAL DE LA INTERFERENCIA ENTRE REDES WIFI CAUSADO POR EL SOLAPAMIENTO DE CANALES,,Cuaderno Activa,2013,,23--29,,,,,5.0,,"Calume, Roberto Carlos Guevara",
